"treat_invite","pct_missing","mosques"
0,0.38527447,0.908383071
1,-0.095748357,1.066666722
1,0.147719324,0.711743772
1,-0.182591215,0.948991716
0,-0.293047667,1.623376608
1,-0.097363584,0.738188982
0,-0.12150725,1.279590487
1,0.117459752,1.167250276
1,0.179765195,0.588235319
0,-0.055086557,2.05479455
0,0.178187564,1.093693018
1,0.38587606,1.157943487
0,0.569184363,1.090909123
1,0.078449145,0.863856256
0,0.416723192,1.450957656
1,0.506721139,0.785722315
1,0.057742011,1.020556927
1,0.340121359,1.151484132
0,0.051515583,0.758629382
1,-0.022527967,1.156451344
0,0.848597288,0.505868077
1,0.067731418,0.870069623
0,0.357197374,1.083717108
1,0.234837726,1.236603498
1,0.352210432,1.059322
0,0.435533732,1.381597161
1,0.161281794,0.694927037
1,1.105558753,0.505433381
1,0.911931813,1.426024914
0,0.344675004,1.702610612
1,0.146761507,1.063405514
1,0.29804635,0.751597166
1,0.450446874,0.426348329
0,0.7631073,1.567398071
0,-0.152414143,1.001001
0,0.035051003,0.584453523
1,-0.037032343,0.660501957
1,-0.156247601,1.075847268
1,-0.039656166,0.664893627
1,0.072478741,0.880088031
0,0.408641696,0.941176474
1,0.005481274,2.484191418
1,0.01996349,1.033324718
0,0.252448708,0.463606864
1,0.65777719,2.219140053
1,0.066612065,1.49840796
0,0.502577543,0.684072495
1,0.033149488,1.061571121
1,0.991170883,0.85605967
1,0.108028829,0.718132854
0,-0.099363692,1.034928799
1,0.13646999,0.903138399
0,-0.231130362,3.13217783
1,-0.031128254,1.117568135
0,0.599463224,2.320185661
0,0.437274247,2.320185661
1,0.235124946,1.726263881
1,0.395896494,1.117318392
0,-0.023706524,1.580849171
1,0.194622591,1.162790656
0,0.229866415,1.801801801
1,0.292702466,1.598538518
1,0.031847931,1.368523955
1,-0.22309427,1.721170425
1,0.371154904,1.215312958
0,0.523804545,2.331002235
0,-0.041302845,2.593360901
1,-0.13761574,1.100110054
1,0.180208981,1.293661118
0,0.831561744,1.348920822
0,0.019599576,2.087682724
1,0.333958298,2.250984907
0,0.084665269,2.610965967
1,0.186990485,2.059308052
1,-1.10281837,1.830663562
1,-0.26038751,1.639344215
1,-0.10617844,1.989554882
1,0.024676699,2.806361198
0,-0.339664042,1.751313448
1,-0.312361747,3.882809639
1,-0.117419645,2.949852467
1,-0.076858446,2.981514692
0,0.024873229,1.918281198
1,-0.301069468,2.400548697
0,-0.071683824,1.168907046
1,-0.086040124,1.962708592
0,-0.563449502,1.424501419
1,-0.290196449,1.891891837
1,0.090279251,1.469507694
1,-0.122956052,2.424830198
1,-0.004485906,2.883229256
0,0.192428589,1.421464086
1,-0.860899687,2.134797096
1,-0.486682773,1.083423615
1,0.522831023,1.397205591
